#,籤號,等級,宮位,詩曰一,詩曰二,詩意,解曰,故事,故事內容,家宅,自身,求財,交易,婚姻,六甲,行人,田蠶,六畜,尋人,訟詞,移徙,失物,疾病,山墳
1,第一籤,上籤,子宮,"天開地闢結良緣
日吉時良萬事全
若得此籤非小可
人行中正帝王宣","開天闢地作良緣
吉日良時萬物全
若得此籤非小可
人行忠正帝王宣",此卦盤古初開天地之象。諸事皆吉也。,急速兆速。年未值時。觀音降筆。先報君知。,宋太祖黃袍加身,後周顯德六年（959年）﹐世宗柴榮突然一病而死﹐宰相範質受顧命扶助柴榮幼子柴宗訓繼立為恭帝。這時恭帝年僅7歲（一說5歲）﹐後周出現了“主少國疑”的不穩定局勢﹐一個由殿前都點檢､歸德軍節度使趙匡胤﹐與禁軍高級將領石守信､王審琦等人策劃的軍事政變計劃正在醞釀著。翌年正月初一﹐風聞契丹和北漢發兵南下﹐後周執政大臣範質等人不辨真假﹐匆忙派遣趙匡胤統率諸軍北上抵禦。正月初三日﹐趙匡胤統率大軍離開都城﹐夜宿距開封東北20公里的陳橋驛（今河南封丘東南陳橋鎮）﹐兵變計劃就付諸實踐了。這天晚上﹐趙匡胤的一些親信在將士中散佈議論﹐說“今皇帝幼弱﹐不能親政﹐我們為國效力破敵﹐有誰知曉﹔不若先擁立趙匡胤為皇帝﹐然後再出發北征”。將士的兵變情緒很快就被煽動起來﹐這時趙匡胤的弟弟趙匡義（後改名光義即宋太宗趙炅）和親信趙普見時機成熟﹐便授意將士將一件事先準備好的皇帝登基的黃袍披在假裝醉酒剛剛醒來的趙匡胤身上﹐並皆拜於庭下﹐呼喊萬歲的聲音幾�堨~都能聽到﹐遂擁立他為皇帝。趙匡胤卻裝出一副被迫的樣子說﹕“你們自貪富貴﹐立我為天子﹐能從我命則可﹐不然﹐我不能為若主矣。”擁立者們一齊表示“惟命是聽”。趙匡胤就當眾宣布﹐回開封後﹐對後周的太後和小皇帝不得驚犯﹐對後周的公卿不得侵凌﹐對朝市府庫不得侵掠﹐服從命令者有賞﹐違反命令者族誅﹐諸將士都應聲“諾”﹗於是趙匡胤率兵變的隊伍回師開封。守備都城的主要禁軍將領石守信､王審琦等人都是趙匡胤過去的“結社兄弟”﹐得悉兵變成功後便打開城門接應。當時在開封的後周禁軍將領中﹐只有侍衛親軍馬步軍副都指揮使韓通在倉卒間想率兵抵抗﹐但還沒有召集軍隊﹐就被軍校王彥升殺死。陳橋兵變的將士兵不血刃就控制了後周的都城開封。這時後周宰相範質等人才知道不辨軍情真假﹐就倉促遣將是上了大當﹐但已無可奈何﹐只得率百官聽命﹐翰林學士陶谷拿出一篇事先準備好的禪代詔書﹐宣布周恭帝退位。趙匡胤遂正式登皇帝位﹐輕易地奪敢了後周政權﹐改封恭帝柴宗訓為鄭王。由於趙匡胤在後周任歸德軍節度使的藩鎮所在地是宋州（今河南商丘）﹐遂以宋為國號﹐定都開封。歷史上習慣把趙匡胤建立的趙宋王朝稱作北宋﹐趙匡胤死後被尊為宋太祖。這就是歷史上有名的“陳橋兵變､黃袍加身”故事的真相。,祈福,秋冬大利,秋冬大利,成,成,生男,至,好,好,見,吉,,東北,設送,吉
2,第二籤,下籤,子宮,"鯨魚未化守江湖
未許升騰離碧波
異日崢嶸身變態
從教一躍禹門過","鯨魚未變守江河
不可昇騰更望高
異日崢嶸身變化
許君一躍跳龍門",此卦鯨魚未變之象。凡事忍耐待時也。,得忍且忍。得耐且耐。須待時至。功名還在。,姜太公渭水垂釣,姜太公，他的本名是姜尚，字子牙，號飛熊。在歷史上，真有姜尚這個人，也的確在年紀很大才遇到周武土的父親周文王，他不但有治國做宰相的才能，而且很會帶兵打仗，據說古代的兵書──六韜--是他為的。他幫助周武王打敗商紂王以後，周武王為了酬謝他，封了他原來的家鄉齊（今山東省）給他，他成為齊侯。他把齊國治理得很好，後代的人都叫他姜太公，春秋五霸之一的齊桓公就是他的後代，他有個女兒，嫁給周武王為妻，他變成周武王的岳丈。相傳姜太公直到七十多歲仍懷才不遇，常在渭水邊垂釣，魚鉤離水三吋，意不在魚，諺語說姜太公釣魚，願者上鉤。有一天周文王出獵前問卜，卜辭說：今天狩獵可獲得助你稱霸天下的奇物，文王一行至渭水，發現一白髮老者臨水垂釣，相談甚歡白髮老者果然語出不凡，是個具有雄才大略的人才，文王大喜力邀姜太公輔佐朝政，文王死後，武王在他的輔佐下，完成滅商興周的大業。,不安,還願,欠利,,難,作福,平安,吉,不利,見,和,去,東南,祈保,吉
3,第三籤,下籤,子宮,"衝風冒雨去還歸
役役勞身似燕兒
啣得泥來呈疊後
到頭疊壞復成泥","臨風冒雨去還鄉
正是其身似燕兒
啣得坭來欲作壘
到頭壘壞復須坭",此卦燕子啣坭之象。凡事空心勞力也。,千般用計。晨昏不停。誰知此事。到底勞心。,燕將獨守聊城,燕將攻齊聊城，拔之。或譖之燕王，燕將保聊城，不敢歸。齊田單攻之，歲餘不下，魯仲連乃為書，約之矢以射城中，遺燕將，為陳利害曰：「為公計者，不歸燕則歸齊。今獨守孤城，齊兵日益而燕救不至，將何為乎？」燕將見書，泣三日，猶豫不能自決，欲歸燕，已有隙；欲降齊，所殺虜於齊甚眾，恐已降而後見辱。喟然歎曰：「與人刃我，寧我自刃！」遂自殺。聊城亂，田單克聊城。歸，言魯仲連於齊王，欲爵之。仲連逃之海上，曰：「吾富貴而詘於人，寧貧賤而輕世肆志焉！」《資治通鑑‧卷第六‧秦紀一》,先凶后吉,謹防,有,成,不合,男,吉,利,利,見,有理,安,見,還願,吉
4,第四籤,上籤,子宮,"菱花鏡破復重圓
女再求夫男再婚
自此門閭重改換
更添福祿與兒孫","千年古鏡復重圓
女再求夫男再婚
自此門庭重改換
更添福祿在兒孫",此卦串鏡重圓之象。凡事勞心有貴也。,淘沙成金。騎龍踏虎。雖是勞心。于中有補。,長樂老歷相五代,五代名士馮道（號長樂老），當上宰相後為民服務，二十餘年來四朝十一位皇帝都請他任宰相。chnace 提醒您良好的經理人才若得此籤，當以此故事為鑑。,欠利,秋冬旺,秋冬旺,允,成,祈保,至,可養,可養,見,不利,守舊,遲見,祈福,吉
5,第五籤,中籤,丑宮,"一鋤掘地要求泉
努力求之得最先
無意俄然遇知己
相逢攜手上青天","一錐草地要求泉
努力求之得最難
無意俄然遇知己
相逢攜手上青天",此卦錐地求泉之象。凡事先難后易也。,欲望心事。西方可求。不如莫動。立地可謀。,燕昭王為郭隗築黃金臺,燕昭王是燕王噲的兒子，名子叫平。當子之即位後的第三年，燕國發生內亂，將軍市被和太子平聯合，準備推翻子之，結果失敗了；將軍市被奮戰而死，太子平逃到無終山避難。燕國人民雖然痛恨子之，但看到齊派兵入侵，有意消滅燕國，眾心不服，乃到無終山找回太子平，奉為國君，這就是燕昭王。當時燕國各地已投降齊國的人，全部叛齊，齊將不能阻止，只好領兵回國。燕昭王即位後，以郭隗為相國，返回燕都，修理宗廟，立志報仇。昭王謙恭自己，準備許多錢財，要招求天下的賢士。昭王對相郭隗說：「我國遭受的恥辱，我日夜記在心頭，如果能找到有賢德的人，可以共圖報復，我願意尊他為老師。請您幫我找這樣的人吧！」郭隗回答說：「我說一個故事給你聽吧！從前有一個國君，拿了千兩黃金給他的僕人，叫他的僕人去買千里馬。這個僕人在路上，看到一群人圍著一匹死馬嘆息，就問其中緣故，原來這匹死馬活的時候日行千里。僕人就花了五百金，買了馬骨回來。這個國君大怒，但是僕人說，花了五百金買千里馬的骸骨是奇事，人將競傳，死馬都得到這麼多錢，何況活馬。果然不多久，這個國君就買到了三匹千里馬。」郭隗對昭王說：『你要招納賢士，就以我當馬骨吧！那樣比我有才幹的，誰不到燕國來呢？』於是昭王奉郭隗為師，北面聽教，極其恭敬。又在易水河畔，築高臺，以招四方賢士，名為招賢臺。天下的人都知道昭王好士，許多賢士都紛紛投奔，燕國也就一天一天強大起來了。,祈福,利,利,合,合,安,遲,宜早種,損,見,宜和,吉,不見,禳星,吉
6,第六籤,中籤,丑宮,"投身巖下飼於菟
須是還他大丈夫
捨己也應難再得
通行天下此人無","投身岩下鵰鳥居
須是還他大丈夫
及早營謀誰可得
通行天地此人無",此卦投岩銅鳥之象。凡事宜順吉之兆。,食用無魚。身清喜貧。待時利樂。權與概人。,藺相如完璧歸趙,藺相如是戰國時期的政治家、外交家。他流傳的最廣也最久遠的是“完璧歸趙”、“澠池之會”及“廉頗負荊請罪”等三個故事。這三個故事也充份說明了藺相如是一位真正為國為民、大智大勇的政治家。秦昭王聽說趙惠文王有一塊完美無瑕的和氏璧，就想要得到這塊寶玉，於是派遣使者送信給趙惠文王，表示願意以十五座城池換取寶玉。趙王收到信後，命藺相如為使臣，帶著和氏璧出使秦國。到了秦國後，藺相如雙手捧璧，獻給秦王。秦王接過來仔細端詳良久，發現不愧是稀世之寶，非常高興。可是過了很久，秦王都絕口不提以城換璧之事，於是藺相如假意要指出和氏璧上的瑕疵給秦王看，把和氏璧拿了回來，並且義正詞嚴地說：“大王答應以十五座城交換和氏璧，可是我一直看不到大王的誠意。如果大王要寶玉卻不肯實現諾言，我就以自己的腦袋和這塊寶玉一起在柱子上撞個粉碎。”秦王怕他真的把璧玉撞碎了，就含糊其詞的表示自己會實現諾言，並請藺相如先回賓館休息。回到賓館後，藺相如知道秦王不會真的以城換璧，就秘密派人將和氏璧送回趙國了。當秦王知道和氏璧已送回趙國時，非常震怒。可是在藺相如大無畏態度的面前，也就無可奈何地將他奉為上賓，然後讓他回趙國去了。後來，秦國一直沒有把十五座城池割給趙國，趙國自然也就沒有再把和氏璧送給秦國了。,不利,中吉,中吉,難,平平,安,近,早種,損,見,有理,吉,見,設送,安
7,第七籤,下籤,丑宮,"奔波役役重重險
帶水拖泥又渡山
更慮他方求別用
千山萬水未能還","奔波阻隔重重險
帶水拖坭去度山
更望他鄉求用事
千鄉萬里未回還",此卦拖坭帶水之象。凡事守舊則吉也。,退身可得。進步為難。只宜守舊。莫望高扳。,范文正公斷虀畫粥,范仲淹很小的時候，他的父親就去世了，母親帶著他改嫁到朱家做繼室，他也隨了繼父的姓。因為范仲淹還少不更事，再加上繼父對他也很好，因此他並不知道自己是繼子。范仲淹是個勤儉刻苦的人，但是他的其他朱家兄弟卻不是這樣，他們不知道用功求學，還揮霍無度。范仲淹經常規勸他們，起初他們還閉耳不聞，聽的多了，就把他們給惹火了，對范仲淹說：「我們自用朱家的錢，關你什麼事。」此時范仲淹才知道自己不是朱氏子孫，雖然繼父待他很好，但是他決定要自己獨立，便收拾簡單行囊，到學子集中之地南京應天府去求學。在這裡，他學習更刻苦了。每天晝夜苦讀，五年間沒有解衣就枕，夜深睏倦的時候，他就用冷水拂面。因為不接受繼父的供養，他生活十分困難，吃的也非常簡單。他每天煮好兩升米的粥，冷卻凝固以後，劃成四塊，早晚兩頓，一次吃兩塊。他的菜也非常簡單，只是把蔬菜切碎，加上一點鹽和醋，燒熟了就吃。有一個和他非常要好的同學看見范仲淹這麼對待自己，非常同情他，就從家裡拿來好吃的東西，給范仲淹吃，范仲淹非常感激的接受了。但過了幾天，他發現范仲淹並沒有吃送來的飯菜，他十分生氣。范仲淹便對他解釋說：「我並不是不感激你的厚意，只是我艱苦慣了，擔心吃了你的好飯菜，將來就再也吃不下粗米粥飯了，到時候又有誰來同情我呢？」,不利,祈福,秋冬吉,平平,祈福,祈福,阻,不利,不利,難,虧,吉,不見,作福,不利
8,第八籤,上籤,丑宮,"歲寒松柏古栽培
雨雪風霜總不摧
異日必當成大用
功名作個棟樑材","茂林松柏正興旺
雨雪風霜總莫為
異日忽然成大用
功名成就棟樑材",此卦此卦松柏茂林之象。凡事有貴氣也。,路上亨通。終身有功。田蠶豐熟。家道興隆。,趙韓王半部論語定天下,世人對此故事多戴貶抑意味，但籤詩故事首重啟發，以下這則來自奇摩知識＋符合正面啟示意義，『深刻讀一本，好過泛讀千本』，這是神明藉這個故事對某些特定人士的指點。籤詩的道理本來就是因人而選，就像醫生開給我們的方子也不要給天下人服用的。“半部論語”這則成語常用來強調學習儒家經典的重要。這個成語來源於宋.羅大經《鶴林玉露》，人言普山東人，所讀止《論譜》.....太宗嘗以此問普，普略不隱，對曰：“臣平生所知，誠不出此。昔以其半輔太祖定天下，今欲以其半輔陛下致太平。”北宋著名的政治家趙普，原先是後周當節度使的趙匡胤手下的推官。西元960年，趙匡胤率軍北上，部隊到達陳橋時，趙普爲趙匡胤出謀劃策，發動兵變。趙匡胤黃袍加身，做了皇帝，改國號爲宋，史稱宋太祖。接著，趙普又輔佐宋太祖東征西討，統一了全國。後來，宋太祖任命他爲宰相。宋太祖死後，他的弟弟趙匡義繼位，史稱宋太宗。趙普仍然擔任宰相。有人對宋太宗說趙普是山東人，不學無術，所讀之書僅僅是儒家的一部經典《論語》而已，當宰相不恰當。宋太宗不以爲然地說：“趙普讀書不多，這我一向知道。但說他唯讀一部《論語》，我也是不相信的。”有一次宋太宗和趙普閒聊，宋太宗隨便問道：“有人說你唯讀一部《論語》，這是真的嗎？”趙普老老實實地回答說：“臣所知道的，確實不超出《論語》這部分。過去臣以半部《論語》輔助太祖平定天下，現在臣用半部《論語》輔助陛下，便天下太平。”後來趙普因爲年老體衰病逝，家人打開他的書篋，裏面果真只有一部《論語》。,吉,順利,中平,旺,成,男,有信,利,損,至,有理,吉,見,安,吉
9,第九籤,上籤,寅宮,"勞苦問我心中事
此意偏宜說向公
一片靈臺明似鏡
恰如明月正當空","煩君勿作私心事
此意偏宜說問公
一片明心光皎潔
宛如皎月正天中",此卦皎月當空之象。凡事光明通氣也。,心中正直。理順法寬。聖無私語。終有分明。,三顧草廬,漢。諸葛亮。字孔明。瑯琊人。漢末避居南陽。志學清修。養生之道。研究奇明(門)遁法。天文術數。卦算韜略。無所不精。初不求聞達於諸侯。後徐庶薦於劉先生。先主凡三往問計。延為軍師。先主即位。拜丞相。受以託孤。後主封為武卿侯。卒諡忠武。3.趙韓王半部論語定天下世人對此故事多戴貶抑意味，但籤詩故事首重啟發，以下這則來自奇摩知識＋符合正面啟示意義，『深刻讀一本，好過泛讀千本』，這是神明藉這個故事對某些特定人士的指點。籤詩的道理本來就是因人而選，就像醫生開給我們的方子也不要給天下人服用的。“半部論語”這則成語常用來強調學習儒家經典的重要。這個成語來源於宋.羅大經《鶴林玉露》，人言普山東人，所讀止《論譜》.....太宗嘗以此問普，普略不隱，對曰：“臣平生所知，誠不出此。昔以其半輔太祖定天下，今欲以其半輔陛下致太平。”北宋著名的政治家趙普，原先是後周當節度使的趙匡胤手下的推官。西元960年，趙匡胤率軍北上，部隊到達陳橋時，趙普爲趙匡胤出謀劃策，發動兵變。趙匡胤黃袍加身，做了皇帝，改國號爲宋，史稱宋太祖。接著，趙普又輔佐宋太祖東征西討，統一了全國。後來，宋太祖任命他爲宰相。宋太祖死後，他的弟弟趙匡義繼位，史稱宋太宗。趙普仍然擔任宰相。有人對宋太宗說趙普是山東人，不學無術，所讀之書僅僅是儒家的一部經典《論語》而已，當宰相不恰當。宋太宗不以爲然地說：“趙普讀書不多，這我一向知道。但說他唯讀一部《論語》，我也是不相信的。”有一次宋太宗和趙普閒聊，宋太宗隨便問道：“有人說你唯讀一部《論語》，這是真的嗎？”趙普老老實實地回答說：“臣所知道的，確實不超出《論語》這部分。過去臣以半部《論語》輔助太祖平定天下，現在臣用半部《論語》輔助陛下，便天下太平。”後來趙普因爲年老體衰病逝，家人打開他的書篋，�堶悸G真只有一部《論語》。,吉,順,中平,旺,成,男,動,利,損,至,有理,吉,祈福,安,吉
10,第十籤,中籤,寅宮,"櫝藏無價寶和珍
只管他鄉外處尋
好似將燈來覔火
不如安靜莫勞心","石藏無價玉和珍
只管他鄉外客尋
宛如持燈更覓火
不如收拾枉勞心",此卦持燈覓火之象。凡事待時成就也。,姻緣會遇。何事不成。須無限意。眼前是真。,秦昭王連城求趙璧,藺相如是戰國時期的政治家、外交家。他流傳的最廣也最久遠的是“完璧歸趙”、“澠池之會”及“廉頗負荊請罪”等三個故事。這三個故事也充份說明了藺相如是一位真正為國為民、大智大勇的政治家。秦昭王聽說趙惠文王有一塊完美無瑕的和氏璧，就想要得到這塊寶玉，於是派遣使者送信給趙惠文王，表示願意以十五座城池換取寶玉。趙王收到信後，命藺相如為使臣，帶著和氏璧出使秦國。到了秦國後，藺相如雙手捧璧，獻給秦王。秦王接過來仔細端詳良久，發現不愧是稀世之寶，非常高興。可是過了很久，秦王都絕口不提以城換璧之事，於是藺相如假意要指出和氏璧上的瑕疵給秦王看，把和氏璧拿了回來，並且義正詞嚴地說：“大王答應以十五座城交換和氏璧，可是我一直看不到大王的誠意。如果大王要寶玉卻不肯實現諾言，我就以自己的腦袋和這塊寶玉一起在柱子上撞個粉碎。”秦王怕他真的把璧玉撞碎了，就含糊其詞的表示自己會實現諾言，並請藺相如先回賓館休息。回到賓館後，藺相如知道秦王不會真的以城換璧，就秘密派人將和氏璧送回趙國了。當秦王知道和氏璧已送回趙國時，非常震怒。可是在藺相如大無畏態度的面前，也就無可奈何地將他奉為上賓，然後讓他回趙國去了。後來，秦國一直沒有把十五座城池割給趙國，趙國自然也就沒有再把和氏璧送給秦國了。,欠利,安,難,難,合,女,動,秋吉,難養,見,虧,舊安,難見,設送,中平
